survey,year,level,N,Missing,Mean,Median,SD,Min,Pctl_25,Pctl_75,Max
VODPF,2022,household,4834,1247,63251,50000,51308,0,30000,80000,780000
VODPF,2022,individual,10704,1458,29657,24430,29568,0,15700,36000,1039000
VODPF,2020,household,5203,817,49515,40000,43283,0,24885,61000,991000
VODPF,2020,individual,10760,1138,23963,19800,27693,0,12600,30000,1218500
VODPF,2018,household,5252,760,48894,37000,73929,0,23000,59000,4190845
VODPF,2018,individual,11137,1000,22207,17548,25565,0,11000,27500,1080000
VODPF,2015,household,5305,722,43472,32700,52995,420,20000,50800,2480000
VODPF,2015,individual,11358,1085,18630,15000,31077,0,9100,23644,2480000
VODPF,2013,household,5108,995,39157,28500,49164,0,17688,46110,1802000
VODPF,2013,individual,11198,1452,16003,12000,15833,0,7200,20000,292800
VNDN,2022,household,160008,0,648130,510092,491736,300,307073,832164,14788366
VNDN,2022,individual,339720,0,187863,0,294062,0,0,343678,7071085
VNDN,2021,household,60000,0,614804,483374,469316,1000,297401,785527,9060437
VNDN,2021,individual,128132,0,174526,0,274824,0,0,300000,4942529
VNDN,2020,household,60000,0,591432,461144,467314,350,278400,748387,14724073
VNDN,2020,individual,132043,0,165277,0,266391,0,0,275862,4514713
VNDN,2019,household,60000,0,570458,441358,447263,500,270000,724150,7344000
VNDN,2019,individual,135550,0,157467,0,251643,0,0,259770,4270556
VNDN,2018,household,60000,0,546822,422492,430644,1000,253307,695631,5517241
VNDN,2018,individual,138219,0,146522,0,236066,0,0,241379,5172414
VNDN,2017,household,160008,0,515822,391808,425630,780,233563,655172,11194968
VNDN,2017,individual,367106,0,139542,0,230950,0,0,222000,8655172
VNDN,2016,household,60000,0,502643,384828,409081,500,229617,640460,7703487
VNDN,2016,individual,138395,0,134881,0,224148,0,0,210000,5216667
VNDN,2015,household,45000,0,497130,378739,415359,850,221336,635914,7944600
VNDN,2015,individual,105099,0,133276,0,219839,0,0,206897,4540230
VNDN,2014,household,45000,0,472003,358456,397299,500,207409,609250,7840173
VNDN,2014,individual,105620,0,125818,0,208489,0,0,206897,4229884
VNDN,2012,household,9990,0,425570,319318,377790,100,183946,538266,11872799
VNDN,2012,individual,11207,13736,229796,180000,187361,1149,106897,293103,2068966
SIPP,2022,household,124997,0,8223,5156,11754,-69674,2336,9885,327458
SIPP,2022,individual,240202,48252,4279,2453,7847,-69674,765,5074,219135
SIPP,2021,household,40676,0,8365,5432,12898,-28028,2464,10338,618053
SIPP,2021,individual,78259,15715,4279,2507,8592,-32282,850,5119,607713
SIPP,2020,household,47787,0,8468,5382,12430,-6354,2480,10129,284847
SIPP,2020,individual,90186,15122,4410,2540,8285,-8931,877,5295,276014
RLMS,2022,household,6475,244,68917,55100,59780,0,33000,85025,1304200
RLMS,2022,individual,13943,3400,30810,25000,35940,0,15548,40000,1700000
RLMS,2021,household,6536,234,66218,53000,91096,0,32000,81000,5625000
RLMS,2021,individual,14180,3425,29201,25000,43066,0,15000,36000,3600000
RLMS,2020,household,6520,247,56487,45500,56329,0,27598,70420,2323500
RLMS,2020,individual,28430,6972,25201,20000,31116,0,12900,31000,2323500
RLMS,2019,household,6649,206,56355,44900,64357,0,26500,70000,2600000
RLMS,2019,individual,14538,3522,24941,20000,41497,0,12000,30000,2550000
RLMS,2018,household,6671,267,55689,42000,123049,0,25000,66098,6088800
RLMS,2018,individual,14562,3672,22727,18000,22403,0,11000,30000,550000
RLMS,2017,household,6830,284,56615,40000,335865,0,24000,63549,27096015
RLMS,2017,individual,15051,3903,22518,17315,47405,0,10068,28000,2917500
RLMS,2016,household,6767,233,49722,38768,61382,0,22950,60576,2763000
RLMS,2016,individual,14831,3925,21059,16000,36845,0,9800,26000,2763000
RLMS,2015,household,6639,233,48562,36000,144026,0,22000,58000,10650000
RLMS,2015,individual,14705,3724,19770,15000,35337,0,8900,25000,3050000
RLMS,2014,household,6540,222,44699,35000,61481,0,20141,55000,3070000
RLMS,2014,individual,14805,3567,18572,14600,19799,0,8000,25000,500000
RLMS,2013,household,7822,327,41985,31202,74732,0,18496,50252,4140000
RLMS,2013,individual,17457,4296,17369,13000,28817,0,7500,22000,2265000
RLMS,2012,household,8072,368,37276,28300,34785,0,16700,46000,530000
RLMS,2012,individual,18093,4441,16017,12000,25658,0,6965,20000,2035000
RLMS,2011,household,7728,431,33173,25000,37849,0,15000,40000,1768400
RLMS,2011,individual,17701,4290,13513,10100,14764,0,6000,17100,670000
RLMS,2010,household,7510,413,30489,22500,42655,0,13700,37400,1730000
RLMS,2010,individual,17315,4028,12238,9500,17359,0,5000,15000,1370000
RLMS,2009,household,5017,314,25932,19000,42072,0,10500,32000,1846250
RLMS,2009,individual,11490,2501,10580,7500,20694,0,4200,13800,1846250
RLMS,2008,household,5018,298,24860,18000,38321,0,9218,30100,1148000
RLMS,2008,individual,11515,2511,9915,7000,11274,0,3544,13000,250000
RLMS,2007,household,5094,331,18421,13600,18525,0,7000,23500,320000
RLMS,2007,individual,11824,2681,7355,5000,7836,0,2500,10000,110000
RLMS,2006,household,5258,287,16339,11000,34476,0,5840,19175,944200
RLMS,2006,individual,12150,2539,6059,4000,7832,0,1856,8000,305000
RLMS,2005,household,4370,202,12655,8980,17027,0,4750,15000,424000
RLMS,2005,individual,10099,2138,4882,3088,7584,0,1300,6200,400000
RLMS,2004,household,4711,0,10005,6400,22238,0,3112,12000,706964
RLMS,2004,individual,10422,2219,3865,2400,5065,0,1000,5000,151500
RLMS,2003,household,4604,114,23498,5500,123737,0,2800,10000,999998
RLMS,2003,individual,10368,2288,3161,2000,4439,0,780,4000,100000
RLMS,2002,household,4512,156,6352,4300,9814,0,2230,7772,407400
RLMS,2002,individual,10221,2302,2602,1620,4061,0,600,3105,150000
RLMS,2001,household,4307,221,5132,3250,8246,0,1752,6000,305000
RLMS,2001,individual,9781,2340,2086,1300,5021,0,400,2394,300000
RLMS,2000,household,3887,119,3296,2000,4771,0,1013,4000,156000
RLMS,2000,individual,8831,2145,1294,800,2109,0,198,1500,50000
RLMS,1998,household,3720,110,2587,910,68843,0,445,1700,4198054
RLMS,1998,individual,8444,2231,545,350,1054,0,0,600,40700
RLMS,1996,household,3594,156,1153616,680000,1847072,0,300000,1380000,37500000
RLMS,1996,individual,8049,2415,440545,250000,850799,0,0,500000,20000000
RLMS,1995,household,3647,136,932917,580000,1485364,0,300000,1073500,37000000
RLMS,1995,individual,8033,2633,365732,209000,607930,0,54615,404000,11000000
RLMS,1994,household,3861,114,518344,310000,893109,0,168000,584000,22000000
RLMS,1994,individual,8481,2808,191255,112000,331168,0,40000,220000,8200000
RCVS,2021,household,8602,5829,53734,40000,47292,1200,25000,60000,300000
FINMON,2018,household,920,710,41120,35000,29727,2000,22000,50000,350000
FINMON,2017,household,877,724,37460,30000,26682,4000,20000,48000,390000
FINMON,2016,household,798,802,38193,30000,26642,1700,20000,50000,250000
FINMON,2015,household,1305,295,39249,30000,28269,2000,20000,50000,300000
FINMON,2014,household,966,663,36059,30000,25769,2000,20000,45000,215000
FINMON,2013,household,1002,632,37166,30000,31948,11,20000,45000,360000
FINMON,2012,household,908,700,34182,25000,85795,1,16000,40000,2500000
FINMON,2011,household,886,716,28094,22000,21835,33,15000,35000,200000
EUSILC,2013,household,184610,1,36042,25087,38257,-395819,10372,49500,1152186
EUSILC,2013,individual,371379,0,10391,196,20216,-92230,0,13708,1232004
EUSILC,2012,household,169943,0,44029,23976,490904,-466939,9704,49026,63442968
EUSILC,2012,individual,434147,1,10208,148,19463,-178740,0,13911,1411689
EUSILC,2011,household,136145,0,40308,19767,477291,-154649,7658,44075,129812463
EUSILC,2011,individual,343901,0,9258,0,19179,0,0,11794,3065749
EUSILC,2010,household,148904,0,33124,22229,37070,-881589,8846,45550,1864325
EUSILC,2010,individual,309631,0,9093,110,18693,0,0,11554,1982056
EUSILC,2009,household,142529,0,35754,23061,242962,-726446,9494,46153,40162177
EUSILC,2009,individual,309250,0,9673,274,19934,0,0,12789,2204507
EUSILC,2008,household,134887,0,32110,22373,93241,-28508416,8818,44976,1400432
EUSILC,2008,individual,279000,0,8957,182,17947,0,0,11740,1364569
EUSILC,2007,household,124069,0,34623,21778,281292,-426754,7916,44759,42328865
EUSILC,2007,individual,272749,1,9112,0,20662,0,0,12084,3587768
EUSILC,2006,household,88314,0,42371,20725,378725,-281587,7700,44688,32812735
EUSILC,2006,individual,170893,87699,9849,923,19101,0,0,13728,996827
EUSILC,2005,household,107043,0,28870,19953,31672,-635522,7966,39408,963135
EUSILC,2005,individual,124260,97909,9859,1088,19136,0,0,13222,875595
EUSILC,2004,household,92528,0,32446,24300,31434,-113430,12112,43319,873077
EUSILC,2004,individual,86807,102126,13262,2213,21627,0,0,22390,850189
