year,ssus,households,new_households,iqr_interview_span,median_interview_duration,sd_realincome,ssus_benford,households_benford
1994,157,3861,3861,12,50,58525,37,2867
1995,157,3647,438,11,45,42082,37,2690
1996,156,3594,285,15,50,42960,37,2634
1998,154,3720,394,16,50,781931,41,2793
2000,152,3887,320,17,46,33023,46,2974
2001,152,4307,562,20,43,48139,44,3347
2002,151,4512,298,20,45,49791,49,3589
2003,152,4604,300,22,45,560572,50,3685
2004,152,4711,293,20,45,90167,52,3818
2005,152,4370,130,21,45,62242,49,3475
2006,157,5258,1142,22,45,115622,67,4454
2007,157,5094,310,22,41.5,55534,67,4328
2008,156,5018,273,21,45,101414,66,4271
2009,156,5017,169,23,40,102335,63,4228
2010,156,7510,2617,33,46,95379,107,7087
2011,158,7728,1016,32,40,79767,109,7351
2012,158,8072,955,29,45,68790,105,7608
2013,158,7822,579,32,50,138807,102,7358
2014,158,6540,194,23,40,102554,85,5948
2015,160,6639,275,29,43,212775,80,5928
2016,159,6767,206,27,42,86044,82,6103
2017,160,6830,249,33,43,459282,79,6130
2018,159,6671,244,34,45,161389,85,6049
2019,159,6649,217,33,45,81920,87,6047
2020,158,6520,318,37,40,68345,83,5922
2021,158,6536,258,36,42.5,101972,85,5927
2022,157,6475,380,36,45,59780,85,5908
