area_id,survey,year,level,1,2,3,4,5,6,7,8,9,type,rank,observations,alphastar,posterior
117,RLMS,2022,household,0.14,0.211,0.333,0.14,0.088,0.088,0,0,0,worst,1,57,0.645,0.001
72,RLMS,2022,household,0.139,0.054,0.084,0.193,0.145,0.187,0.084,0.06,0.054,worst,2,166,0.113,0.008
137,RLMS,2022,household,0.333,0.037,0.074,0.111,0.126,0.074,0.096,0.096,0.052,worst,3,135,0.909,0.013
110,RLMS,2022,household,0.353,0.059,0,0,0.118,0.118,0,0.118,0.235,worst,4,17,0.952,0.123
179,RLMS,2022,household,0.316,0.132,0,0.158,0.026,0.184,0.105,0.026,0.053,worst,5,38,0.938,0.422
141,RLMS,2022,household,0.232,0.121,0.129,0.107,0.107,0.076,0.103,0.062,0.062,best,1,224,0.633,1
105,RLMS,2022,household,0.199,0.159,0.113,0.093,0.093,0.106,0.079,0.073,0.086,best,2,151,0.531,1
66,RLMS,2022,household,0.242,0.16,0.16,0.108,0.072,0.077,0.077,0.067,0.036,best,3,194,0.768,1
106,RLMS,2022,household,0.228,0.111,0.105,0.154,0.099,0.086,0.08,0.074,0.062,best,4,162,0.597,1
92,RLMS,2022,household,0.323,0.157,0.11,0.094,0.055,0.055,0.079,0.047,0.079,best,5,127,1.055,1
